Incident Number,Short Description,Category,Close Reason,Environment,Urgency,Date
INC10001,Sales forecast spreadsheet is READ ONLY.,database,Closed/Resolved by Caller,Development,1,22-01-2023
INC10002,Java App Server,hardware,Solved Remotely (Work Around),Test,2,22-01-2023
INC10003,Deploy new Cisco Catalyst 4500,software,Solved (Work Around),Test,3,22-01-2023
INC10004,Change VLAN on a Cisco switchport,database,Solved (Permanently),Test,3,22-01-2023
INC10005,Please reboot ApplicationServerHelpdesk,network,Solved Remotely (Work Around),Test,3,22-01-2023
INC10006,Decommission server,inquiry,Solved (Work Around),Test,1,22-01-2023
INC10007,Another Java Application Server change         ,hardware,Solved (Permanently),Development,3,22-01-2023
INC10008,Update ownership of Blackberry service,inquiry,Closed/Resolved by Caller,Production,2,22-01-2023
INC10009,Unable to access team file share.,inquiry,Solved Remotely (Work Around),Production,3,22-01-2023
INC10010,Sales forecast spreadsheet is READ ONLY.,database,Not Solved (Too Costly),Development,2,22-01-2023
INC10011,Update /etc/network/interfaces to include name servers 8.8.8.8 & 8.8.4.4,software,Not Solved (Not Reproducible),Test,3,22-01-2023
INC10012,Reboot Windows Server,inquiry,Solved (Permanently),Test,3,22-01-2023
INC10013,Upgrade database server - bond_trading_uk to Postgres SQL,network,Closed/Resolved by Caller,Production,1,22-01-2023
INC10014,Request for a new service.,network,Solved (Permanently),Production,3,23-01-2023
INC10015,Update /etc/network/interfaces to include name servers 8.8.8.8 & 8.8.4.4,database,Not Solved (Too Costly),Production,3,23-01-2023
INC10016,Increase db_block_buffers from 5000 to 7500,database,Solved (Permanently),Development,1,23-01-2023
INC10017,Update default support group on all Oracle CI's to Database group,software,Solved (Permanently),Production,2,23-01-2023
INC10018,Performance problems with email.,database,Solved (Permanently),Test,1,23-01-2023
INC10019,Rollback Oracle Version,inquiry,Not Solved (Too Costly),Production,1,23-01-2023
INC10020,Java App Server,inquiry,Closed/Resolved by Caller,Development,1,23-01-2023
INC10021,Update ownership information of database server - bond_trading_uk,hardware,Not Solved (Not Reproducible),Development,3,23-01-2023
INC10022,A failed RAID controller card needs to be replaced on PSORA1,database,Closed/Resolved by Caller,Test,1,24-01-2023
INC10023,Java Application Server change,hardware,Solved (Work Around),Test,1,24-01-2023
INC10024,Decommission server,database,Closed/Resolved by Caller,Development,1,24-01-2023
INC10025,Upgrade database server - bond_trading_uk to Postgres SQL,database,Not Solved (Not Reproducible),Development,3,24-01-2023
INC10026,Increase db_block_buffers from 5000 to 7500,hardware,Solved Remotely (Work Around),Test,1,25-01-2023
